country_name_short;country_name;election_type;election_date;vote_share;seats;seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;previous_parliament_election_id;party_id
AUT;Austria;parliament;2008-09-28;29,3;57;183;SPO;Sozialdemokratische Partei Österreichs;Social Democratic Party of Austria;3,659333333;59;607;197;973
AUT;Austria;parliament;2008-09-28;26;51;183;OVP;Österreichische Volkspartei;Austrian People's Party;6,366666629;59;607;197;1013
AUT;Austria;parliament;2008-09-28;17,5;34;183;FPO;Freiheitliche Partei Österreichs;Freedom Party of Austria;8,295555575;59;607;197;50
AUT;Austria;parliament;2008-09-28;10,7;21;183;BZO;Bündnis Zukunft Österreich;Alliance for the Future of Austria;8,83;59;607;197;1536
AUT;Austria;parliament;2008-09-28;10,4;20;183;GRUENE;Die Grünen – Die grüne Alternative;The Greens -- The Green Alternative;2,491666691;59;607;197;1429
BEL;Belgium;parliament;2010-06-13;17,4;27;150;N-VA;Nieuw-Vlaamse Alliantie;New Flemish Alliance;6,429222222;64;486;401;501
BEL;Belgium;parliament;2010-06-13;13,7;26;150;PS;Parti Socialiste;Francophone Socialist Party;3,158888899;64;486;401;1378
BEL;Belgium;parliament;2010-06-13;9,28;18;150;MR;Mouvement Réformateur;Reformist Movement;6,821666627;64;486;401;915
BEL;Belgium;parliament;2010-06-13;10,85;17;150;CD&V;Christen-Democratisch en Vlaams;Christian Democrats & Flemish;5,771944418;64;486;401;1310
BEL;Belgium;parliament;2010-06-13;9,24;13;150;SP;Socialistische Partij;Socialist Party;3,301777762;64;486;401;1029
BEL;Belgium;parliament;2010-06-13;8,64;13;150;PVV;Partij voor Vrijheid en Vooruitgang;Party of Liberty and Progress;6,980277791;64;486;401;1110
BEL;Belgium;parliament;2010-06-13;7,76;12;150;VB;Vlaams Blok;Flemish Block;9,727222328;64;486;401;993
BEL;Belgium;parliament;2010-06-13;5,52;9;150;PSC;Parti Social Chrétien;Francophone Christian Social Party;5,581111132;64;486;401;1192
BEL;Belgium;parliament;2010-06-13;4,8;8;150;Ecolo;Écologistes Confédérés pour l'organisation de luttes originales;Confederated ecologists for the organisation of original struggles;2,911333323;64;486;401;161
BEL;Belgium;parliament;2010-06-13;4,38;5;150;AGL-Gr;Agalev – Groen;Agalev -- Groen;2,828222217;64;486;401;1594
BEL;Belgium;parliament;2010-06-13;2,31;1;150;LD;Lijst Dedecker;List Dedecker;;64;486;401;221
BEL;Belgium;parliament;2010-06-13;1,29;1;150;Pp;Parti populaire;People's Party;;64;486;401;438
BEL;Belgium;parliament;2010-06-13;0,51;0;150;FN;Front National;National Front;9,888889313;64;486;401;171
BEL;Belgium;parliament;2010-06-13;0,56;0;150;Wa;Wallonie d'abord;Wallonia at First;;64;486;401;1354
BEL;Belgium;parliament;2010-06-13;1,55;0;150;Pv;Partij van de Arbeid – Parti du Travail de Belgique;Workers' Party of Belgium;;64;486;401;256
BEL;Belgium;parliament;2010-06-13;0,55;0;150;RWF;Rassemblement Wallonie France;Rally Wallonia France;;64;486;401;578
BGR;Bulgaria;parliament;2009-07-05;39,72;116;240;GERB;Grazhdani za evropeysko razvitie na Balgariya;Citizens for European Development of Bulgaria;;10;79;618;1541
BGR;Bulgaria;parliament;2009-07-05;17,7;40;240;KzB;Koalicija za Balgarija;Coalition for Bulgaria;2,79;10;79;618;1160
