country_name_short;country_name;election_type;election_date;vote_share;seats;seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;previous_parliament_election_id;previous_cabinet_id;party_id
AUT;Austria;parliament;29.09.2013;26,8;52;183;SPO;Sozialdemokratische Partei Österreichs;Social Democratic Party of Austria;3,7293;59;802;607;268;973
AUT;Austria;parliament;29.09.2013;24;47;183;OVP;Österreichische Volkspartei;Austrian People's Party;6,4733;59;802;607;268;1013
AUT;Austria;parliament;29.09.2013;20,5;40;183;FPO;Freiheitliche Partei Österreichs;Freedom Party of Austria;8,3494;59;802;607;268;50
AUT;Austria;parliament;29.09.2013;12,4;24;183;Gruene;Die Grünen – Die Grüne Alternative;The Greens -- The Green Alternative;2,4604;59;802;607;268;1429
AUT;Austria;parliament;29.09.2013;5,7;11;183;TS;Team Stronach;Team Stronach;6;59;802;607;268;2150
AUT;Austria;parliament;29.09.2013;5;9;183;NEOS;NEOS – Das Neue Österreich;NEOS -- The New Austria;6;59;802;607;268;2255
AUT;Austria;parliament;29.09.2013;3,5;0;183;BZO;Bündnis Zukunft Österreich;Alliance for the Future of Austria;8,83;59;802;607;268;1536
AUT;Austria;parliament;29.09.2013;1;0;183;KPO;Kommunistische Partei Österreichs;Communist Party of Austria;0,5;59;802;607;268;769
BEL;Belgium;parliament;25.05.2014;20,26;33;150;N-VA;Nieuw-Vlaamse Alliantie;New Flemish Alliance;6,5321;64;816;486;987;501
BEL;Belgium;parliament;25.05.2014;11,67;23;150;PS;Parti Socialiste;Francophone Socialist Party;2,9307;64;816;486;987;1378
BEL;Belgium;parliament;25.05.2014;9,64;20;150;MR;Mouvement Réformateur;Reformist Movement;6,6889;64;816;486;987;915
BEL;Belgium;parliament;25.05.2014;11,61;18;150;CVP;Christelijke Volkspartij;Flemish Christian Peoples Party;5,7667;64;816;486;987;723
BEL;Belgium;parliament;25.05.2014;9,78;14;150;PVV|VLD;Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten;Party of Liberty and Progress | Flemish Liberals and Democrats;7,0053;64;816;486;987;1110
BEL;Belgium;parliament;25.05.2014;8,83;13;150;SP;Socialistische Partij;Socialist Party;3,2459;64;816;486;987;1029
BEL;Belgium;parliament;25.05.2014;4,98;9;150;PSC-CDH;Parti Social Chrétien – Centre Democrate Humaniste;Francophone Christian Social Party -- Humanist Democratic Centre;5,4974;64;816;486;987;1192
BEL;Belgium;parliament;25.05.2014;5,32;6;150;AGL-Gr;Agalev – Groen;Agalev -- Green;2,5762;64;816;486;987;1594
BEL;Belgium;parliament;25.05.2014;3,3;6;150;Ecolo;Écologistes Confédérés pour l'organisation de luttes originales;Confederated ecologists for the organisation of original struggles;2,641;64;816;486;987;161
BEL;Belgium;parliament;25.05.2014;3,67;3;150;VB;Vlaams Blok;Flemish Block;9,6622;64;816;486;987;993
BEL;Belgium;parliament;25.05.2014;3,72;2;150;PA-PT;Partij van de Arbeid – Parti du Travail de Belgique;Workers' Party of Belgium;1,3;64;816;486;987;256
BEL;Belgium;parliament;25.05.2014;1,8;2;150;FDF;Front Démocratique des Francophones;Francophone Democratic Front;6,1259;64;816;486;987;969
BEL;Belgium;parliament;25.05.2014;1,52;1;150;Pp;Parti populaire;People's Party;7,4;64;816;486;987;438
BEL;Belgium;parliament;25.05.2014;0,86;0;150;DLB;Debout Les Belges!;Belgians, Rise Up!;8,7;64;816;486;987;2368
BGR;Bulgaria;parliament;05.10.2014;32,67;84;240;GERB;Grazhdani za Evropeysko Razvitie na Balgariya;Citizens for European Development of Bulgaria;7,4;10;840;799;1139;1541
BGR;Bulgaria;parliament;05.10.2014;15,4;39;240;KzB|DL;Koalitsiya za Balgariya | Demokratichna Levitsa;Coalition for Bulgaria | Democratic Left;2,8982;10;840;799;1139;1160
BGR;Bulgaria;parliament;05.10.2014;14,84;38;240;DPS;Dvizhenie za Prava i Svobodi;Movement for Rights and Freedoms;4,5828;10;840;799;1139;1286
BGR;Bulgaria;parliament;05.10.2014;8,89;23;240;RB;Reformatorski Blok;Reformist Bloc;7,4;10;840;799;1139;2363
BGR;Bulgaria;parliament;05.10.2014;7,28;19;240;NFSB;Natsionalen Front za Spasenie na Balgariya;National Front for the Salvation of Bulgaria;8,7;10;840;799;1139;2211
BGR;Bulgaria;parliament;05.10.2014;5,69;15;240;BBZ;Balgarija bes Zensura;Bulgaria Without Censorship;7,4;10;840;799;1139;2362
BGR;Bulgaria;parliament;05.10.2014;4,52;11;240;Ataka;Ataka;Attack;5,46;10;840;799;1139;535
BGR;Bulgaria;parliament;05.10.2014;4,15;11;240;ABV;Alternativa za balgarsko vazrazhdane;Alternative for Bulgarian Revival;3,3;10;840;799;1139;2364
BGR;Bulgaria;parliament;05.10.2014;1,19;0;240;M21;Movement 21;Movement 21;3,3;10;840;799;1139;2379
BGR;Bulgaria;parliament;05.10.2014;1,14;0;240;PV;People's Voice;People's Voice;;10;840;799;1139;2214
CYP;Cyprus;parliament;22.05.2011;34,28;20;56;DISY;Dimokratikós Sinayermós;Democratic Rally;8,6842;51;701;556;908;1575
CYP;Cyprus;parliament;22.05.2011;32,67;19;56;AKEL;Anorthotikó Kómma Ergazómenou Laoú;Progressive Party of Working People;1,0526;51;701;556;908;572
CYP;Cyprus;parliament;22.05.2011;15,76;9;56;DIKO;Dimokratikó Kómma;Democratic Party;5,1316;51;701;556;908;851
CYP;Cyprus;parliament;22.05.2011;8,93;5;56;EDEK;Kinima Sosialdimokraton EDEK;Movement for Social Democracy EDEK;3,2895;51;701;556;908;945
CYP;Cyprus;parliament;22.05.2011;3,88;2;56;EK;Evropaiko Komma;European Party;6;51;701;556;908;491
